0,"Гаррі Поттер і філософський камінь","Фентезі","Джоан Роулінг","Книга про молодого чаклуна Гаррі Поттера і його пригоди в школі чарів і магії","","false","false"
1,"Майстер і Маргарита","Роман","Михаїл Булгаков","Роман-фантасмагорія, який розповідає про пригоди Майстра, Маргарити і диявола Воланда в Сталінському Москві","","false","false"
2,"Три товариші","Роман","Еріх Марія Ремарк","Роман про трих товаришів, які виживають під час Першої світової війни та після неї","","false","false"
3,"Гра престолів","Фентезі","Джордж Мартін","Серія романів про боротьбу королівських родів у вигаданому світі Вестерос","","false","false"
4,"Таємниче вікно","Трилер","Стивен Кінг","Психологічний трилер про письменника та його зустріч із своїм фанатом","","false","false"
5,"Хроніки Нарнії","Фентезі","К. С. Льюїс","Серія романів про пригоди дітей, які відкривають ворота у світ Нарнії","","false","false"
6,"Інше","Фантастика","Стівен Кінг","Фантастична книга про дітей, які вступають у контакт із інопланетянами","","false","false"
7,"Прокляття чорної жінки","Жахи","Шірлі Джексон","Жахливий роман про молодий подружній парі, яка переїжджає у старий особняк","","false","false"
8,"Маленький принц","Філософська проза","Антуан де Сент-Екзюпері","Алегорична казка про дружбу та пригоди маленького принца","","false","false"
9,"Чорний вітер","Детектив","Федор Достоєвський","Детектив про злочини та розслідування в Петербурзі","","false","false"
10,"Спектр","Наукова фантастика","Артур Кларк","Наукова фантастика про зовнішній космос та зв'язок із іншими цивілізаціями","","false","false"
11,"Таємниця старого мосту","Пригоди","Енід Блайтон","Дитяча пригода про групу дітей, які розгадують таємниці старого мосту","","false","false"
12,"Анна Кареніна","Роман","Лев Толстой","Роман про кохання та зраду в аристократичному суспільстві Росії","","false","false"
13,"Одна з нас","Драма","Джордж Орвелл","Алегорія про тоталітарне суспільство та втрату свободи","","false","false"
14,"Зелена миля","Драма","Стивен Кінг","Драма про події в тюремному блозі під назвою 'Зелена миля'","","false","false"
15,"Молоко та мед","Сучасна література","Дарія Донцова","Гумористична проза про пригоди звичайної дівчини у великому місті","","false","false"
16,"Маленькі жінки","Класика","Луїза Мей Олкотт","Класичний роман про сім'ю чотирьох сестер та їхні пригоди","","false","false"
17,"Спогади джентльмена","Мемуари","Андре Моруа","Мемуари про подорожі та пригоди французького джентльмена","","false","false"
18,"Короткий курс щасливого життя","Психологія","Людмила Петрановська","Книга про психологічні підходи до досягнення щастя","","false","false"
19,"Мартін Іден","Роман","Джек Лондон","Роман про життя молодого письменника Мартіна Ідена та його шлях до успіху","","false","false"
20,"Острів скарбів","Пригоди","Роберт Льюїс Стівенсон","Пригода про пошук скарбу та смертельні сутички на острові","","false","false"
